vintage_year,n_loans,total_exposure,n_resolved,n_defaulted,default_rate_pct,pct_matured
2007,599,4766350.00,599,158,26.38,100.0
2008,2393,19975025.00,2393,496,20.73,100.0
2009,5281,51814750.00,5281,723,13.69,100.0
2010,12537,126351175.00,12537,1757,14.01,100.0
2011,21721,257363650.00,21721,3297,15.18,100.0
2012,53367,717942625.00,53367,8644,16.2,100.0
2013,134814,1982759550.00,134804,21024,15.6,100.0
2014,235629,3503840175.00,223103,41162,18.45,94.7
2015,421084,6417451925.00,375536,75803,20.19,89.2
2016,434217,6396920425.00,292988,68216,23.28,67.5
2017,442211,6558280100.00,168850,39048,23.13,38.2
2018,492534,7881458900.00,56006,8818,15.74,11.4
